"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: d","Param: k","Param: m","Param: n"
"streamkm.bench.CoresetTreeBench.build","avgt",1,30,"1483,129903","18,352210","us/op",,,500,5000
"streamkm.bench.CoresetTreeBench.build","avgt",1,30,"5477,094159","31,486923","us/op",,,500,20000
"streamkm.bench.CoresetTreeBench.build","avgt",1,30,"2203,342875","12,717707","us/op",,,2000,5000
"streamkm.bench.CoresetTreeBench.build","avgt",1,30,"7335,029518","158,839156","us/op",,,2000,20000
"streamkm.bench.InsertBench.insertAll","avgt",1,30,"6053,381144","20,061398","us/op",,,1000,10000
"streamkm.bench.InsertBench.insertAll","avgt",1,30,"75193,455548","75,088341","us/op",,,1000,100000
"streamkm.bench.InsertBench.insertAll","avgt",1,30,"4859,407561","67,318794","us/op",,,5000,10000
"streamkm.bench.InsertBench.insertAll","avgt",1,30,"95433,083015","3635,591148","us/op",,,5000,100000
"streamkm.bench.LloydBench.lloyd","avgt",1,30,"1717,159067","5,230281","us/op",,10,,1000
"streamkm.bench.LloydBench.lloyd","avgt",1,30,"60405,655569","144,743477","us/op",,10,,10000
"streamkm.bench.LloydBench.lloyd","avgt",1,30,"2441,225148","7,344536","us/op",,50,,1000
"streamkm.bench.LloydBench.lloyd","avgt",1,30,"199136,587082","685,739217","us/op",,50,,10000
"streamkm.bench.NearestBench.nearest","avgt",1,30,"27,246956","0,507920","ns/op",10,10,,
"streamkm.bench.NearestBench.nearest","avgt",1,30,"132,574758","0,307437","ns/op",10,50,,
"streamkm.bench.NearestBench.nearest","avgt",1,30,"118,865613","0,177030","ns/op",50,10,,
"streamkm.bench.NearestBench.nearest","avgt",1,30,"628,574118","1,721359","ns/op",50,50,,
"streamkm.bench.PipelineBench.fullPipeline","avgt",1,30,"25,862151","0,078155","ms/op",,10,,10000
"streamkm.bench.PipelineBench.fullPipeline","avgt",1,30,"63,870432","0,154623","ms/op",,10,,50000
"streamkm.bench.PipelineBench.fullPipeline","avgt",1,30,"175,201106","0,681014","ms/op",,25,,10000
"streamkm.bench.PipelineBench.fullPipeline","avgt",1,30,"185,493707","2,162496","ms/op",,25,,50000
"streamkm.bench.PipelineBench.ingestOnly","avgt",1,30,"7,457137","0,026431","ms/op",,10,,10000
"streamkm.bench.PipelineBench.ingestOnly","avgt",1,30,"42,297588","0,139056","ms/op",,10,,50000
"streamkm.bench.PipelineBench.ingestOnly","avgt",1,30,"5,038724","0,008284","ms/op",,25,,10000
"streamkm.bench.PipelineBench.ingestOnly","avgt",1,30,"47,780506","0,043368","ms/op",,25,,50000
"streamkm.bench.SqdistBench.sqdist","avgt",1,30,"1,520540","0,003873","ns/op",2,,,
"streamkm.bench.SqdistBench.sqdist","avgt",1,30,"2,738768","0,009641","ns/op",10,,,
"streamkm.bench.SqdistBench.sqdist","avgt",1,30,"11,113874","0,213365","ns/op",50,,,
