"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: d","Param: k","Param: m","Param: n"
"streamkm.bench.CoresetTreeBench.build","avgt",1,30,"2232,995420","39,349737","us/op",,,500,5000
"streamkm.bench.CoresetTreeBench.build","avgt",1,30,"8686,563606","26,701359","us/op",,,500,20000
"streamkm.bench.CoresetTreeBench.build","avgt",1,30,"2995,514763","8,693314","us/op",,,2000,5000
"streamkm.bench.CoresetTreeBench.build","avgt",1,30,"10332,543460","144,512004","us/op",,,2000,20000
"streamkm.bench.InsertBench.insertAll","avgt",1,30,"8010,022320","14,038878","us/op",,,1000,10000
"streamkm.bench.InsertBench.insertAll","avgt",1,30,"104209,369375","1933,880734","us/op",,,1000,100000
"streamkm.bench.InsertBench.insertAll","avgt",1,30,"7311,579233","376,964828","us/op",,,5000,10000
"streamkm.bench.InsertBench.insertAll","avgt",1,30,"131446,195551","2616,459360","us/op",,,5000,100000
"streamkm.bench.LloydBench.lloyd","avgt",1,30,"2104,782023","4,616256","us/op",,10,,1000
"streamkm.bench.LloydBench.lloyd","avgt",1,30,"73123,841311","609,989059","us/op",,10,,10000
"streamkm.bench.LloydBench.lloyd","avgt",1,30,"2932,028336","28,946671","us/op",,50,,1000
"streamkm.bench.LloydBench.lloyd","avgt",1,30,"259075,179975","997,264754","us/op",,50,,10000
"streamkm.bench.NearestBench.nearest","avgt",1,30,"41,065873","0,012820","ns/op",10,10,,
"streamkm.bench.NearestBench.nearest","avgt",1,30,"198,185400","0,523293","ns/op",10,50,,
"streamkm.bench.NearestBench.nearest","avgt",1,30,"179,510017","0,165420","ns/op",50,10,,
"streamkm.bench.NearestBench.nearest","avgt",1,30,"911,902747","1,801464","ns/op",50,50,,
"streamkm.bench.PipelineBench.fullPipeline","avgt",1,30,"30,448418","0,381234","ms/op",,10,,10000
"streamkm.bench.PipelineBench.fullPipeline","avgt",1,30,"77,167531","0,551333","ms/op",,10,,50000
"streamkm.bench.PipelineBench.fullPipeline","avgt",1,30,"200,910166","0,153572","ms/op",,25,,10000
"streamkm.bench.PipelineBench.fullPipeline","avgt",1,30,"215,267197","0,290433","ms/op",,25,,50000
"streamkm.bench.PipelineBench.ingestOnly","avgt",1,30,"9,327322","0,024641","ms/op",,10,,10000
"streamkm.bench.PipelineBench.ingestOnly","avgt",1,30,"57,022798","0,024931","ms/op",,10,,50000
"streamkm.bench.PipelineBench.ingestOnly","avgt",1,30,"6,961135","0,101198","ms/op",,25,,10000
"streamkm.bench.PipelineBench.ingestOnly","avgt",1,30,"60,211239","0,033590","ms/op",,25,,50000
"streamkm.bench.SqdistBench.sqdist","avgt",1,30,"2,218152","0,007768","ns/op",2,,,
"streamkm.bench.SqdistBench.sqdist","avgt",1,30,"4,856061","0,001986","ns/op",10,,,
"streamkm.bench.SqdistBench.sqdist","avgt",1,30,"18,537866","0,017252","ns/op",50,,,
