"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: d","Param: k","Param: m","Param: n"
"streamkm.bench.CoresetTreeBench.build","thrpt",1,30,"0,000680","0,000001","ops/us",,,500,5000
"streamkm.bench.CoresetTreeBench.build","thrpt",1,30,"0,000184","0,000000","ops/us",,,500,20000
"streamkm.bench.CoresetTreeBench.build","thrpt",1,30,"0,000449","0,000003","ops/us",,,2000,5000
"streamkm.bench.CoresetTreeBench.build","thrpt",1,30,"0,000140","0,000000","ops/us",,,2000,20000
"streamkm.bench.InsertBench.insertAll","thrpt",1,30,"0,000172","0,000000","ops/us",,,1000,10000
"streamkm.bench.InsertBench.insertAll","thrpt",1,30,"0,000013","0,000000","ops/us",,,1000,100000
"streamkm.bench.InsertBench.insertAll","thrpt",1,30,"0,000204","0,000001","ops/us",,,5000,10000
"streamkm.bench.InsertBench.insertAll","thrpt",1,30,"0,000011","0,000000","ops/us",,,5000,100000
"streamkm.bench.LloydBench.lloyd","thrpt",1,30,"0,000592","0,000003","ops/us",,10,,1000
"streamkm.bench.LloydBench.lloyd","thrpt",1,30,"0,000017","0,000000","ops/us",,10,,10000
"streamkm.bench.LloydBench.lloyd","thrpt",1,30,"0,000427","0,000004","ops/us",,50,,1000
"streamkm.bench.LloydBench.lloyd","thrpt",1,30,"0,000005","0,000000","ops/us",,50,,10000
"streamkm.bench.NearestBench.nearest","thrpt",1,30,"0,038521","0,000241","ops/ns",10,10,,
"streamkm.bench.NearestBench.nearest","thrpt",1,30,"0,008010","0,000001","ops/ns",10,50,,
"streamkm.bench.NearestBench.nearest","thrpt",1,30,"0,008657","0,000002","ops/ns",50,10,,
"streamkm.bench.NearestBench.nearest","thrpt",1,30,"0,001653","0,000005","ops/ns",50,50,,
"streamkm.bench.PipelineBench.fullPipeline","thrpt",1,30,"0,040898","0,000067","ops/ms",,10,,10000
"streamkm.bench.PipelineBench.fullPipeline","thrpt",1,30,"0,016510","0,000014","ops/ms",,10,,50000
"streamkm.bench.PipelineBench.fullPipeline","thrpt",1,30,"0,006149","0,000012","ops/ms",,25,,10000
"streamkm.bench.PipelineBench.fullPipeline","thrpt",1,30,"0,005757","0,000008","ops/ms",,25,,50000
"streamkm.bench.PipelineBench.ingestOnly","thrpt",1,30,"0,140355","0,000768","ops/ms",,10,,10000
"streamkm.bench.PipelineBench.ingestOnly","thrpt",1,30,"0,024075","0,000042","ops/ms",,10,,50000
"streamkm.bench.PipelineBench.ingestOnly","thrpt",1,30,"0,200221","0,001817","ops/ms",,25,,10000
"streamkm.bench.PipelineBench.ingestOnly","thrpt",1,30,"0,021362","0,000089","ops/ms",,25,,50000
"streamkm.bench.SqdistBench.sqdist","thrpt",1,30,"0,671214","0,001099","ops/ns",2,,,
"streamkm.bench.SqdistBench.sqdist","thrpt",1,30,"0,376944","0,000246","ops/ns",10,,,
"streamkm.bench.SqdistBench.sqdist","thrpt",1,30,"0,092074","0,000040","ops/ns",50,,,
"streamkm.bench.CoresetTreeBench.build","avgt",1,30,"1,474200","0,005638","ms/op",,,500,5000
"streamkm.bench.CoresetTreeBench.build","avgt",1,30,"5,459634","0,009862","ms/op",,,500,20000
"streamkm.bench.CoresetTreeBench.build","avgt",1,30,"2,253872","0,009559","ms/op",,,2000,5000
"streamkm.bench.CoresetTreeBench.build","avgt",1,30,"7,194780","0,013200","ms/op",,,2000,20000
"streamkm.bench.InsertBench.insertAll","avgt",1,30,"5,878507","0,072248","ms/op",,,1000,10000
"streamkm.bench.InsertBench.insertAll","avgt",1,30,"74,952222","0,184540","ms/op",,,1000,100000
"streamkm.bench.InsertBench.insertAll","avgt",1,30,"4,924812","0,012351","ms/op",,,5000,10000
"streamkm.bench.InsertBench.insertAll","avgt",1,30,"94,536911","0,115126","ms/op",,,5000,100000
"streamkm.bench.LloydBench.lloyd","avgt",1,30,"1,690742","0,006049","ms/op",,10,,1000
"streamkm.bench.LloydBench.lloyd","avgt",1,30,"58,050314","0,138112","ms/op",,10,,10000
"streamkm.bench.LloydBench.lloyd","avgt",1,30,"2,352098","0,007231","ms/op",,50,,1000
"streamkm.bench.LloydBench.lloyd","avgt",1,30,"190,428609","0,173351","ms/op",,50,,10000
"streamkm.bench.NearestBench.nearest","avgt",1,30,"26,100033","0,144711","ns/op",10,10,,
"streamkm.bench.NearestBench.nearest","avgt",1,30,"124,963672","0,050091","ns/op",10,50,,
"streamkm.bench.NearestBench.nearest","avgt",1,30,"115,679927","0,116816","ns/op",50,10,,
"streamkm.bench.NearestBench.nearest","avgt",1,30,"605,236736","0,284369","ns/op",50,50,,
"streamkm.bench.PipelineBench.fullPipeline","avgt",1,30,"24,582137","0,068106","ms/op",,10,,10000
"streamkm.bench.PipelineBench.fullPipeline","avgt",1,30,"60,691214","0,276198","ms/op",,10,,50000
"streamkm.bench.PipelineBench.fullPipeline","avgt",1,30,"163,212638","0,284470","ms/op",,25,,10000
"streamkm.bench.PipelineBench.fullPipeline","avgt",1,30,"174,233753","0,599020","ms/op",,25,,50000
"streamkm.bench.PipelineBench.ingestOnly","avgt",1,30,"7,130199","0,065106","ms/op",,10,,10000
