"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: d","Param: k","Param: m","Param: n"
"streamkm.bench.CoresetTreeBench.build","thrpt",1,30,"0,000658","0,000036","ops/us",,,500,5000
"streamkm.bench.CoresetTreeBench.build","thrpt",1,30,"0,000183","0,000002","ops/us",,,500,20000
"streamkm.bench.CoresetTreeBench.build","thrpt",1,30,"0,000453","0,000006","ops/us",,,2000,5000
"streamkm.bench.CoresetTreeBench.build","thrpt",1,30,"0,000137","0,000002","ops/us",,,2000,20000
"streamkm.bench.InsertBench.insertAll","thrpt",1,30,"0,000166","0,000004","ops/us",,,1000,10000
"streamkm.bench.InsertBench.insertAll","thrpt",1,30,"0,000013","0,000000","ops/us",,,1000,100000
"streamkm.bench.InsertBench.insertAll","thrpt",1,30,"0,000199","0,000003","ops/us",,,5000,10000
"streamkm.bench.InsertBench.insertAll","thrpt",1,30,"0,000010","0,000000","ops/us",,,5000,100000
"streamkm.bench.LloydBench.lloyd","thrpt",1,30,"0,000581","0,000013","ops/us",,10,,1000
"streamkm.bench.LloydBench.lloyd","thrpt",1,30,"0,000017","0,000000","ops/us",,10,,10000
"streamkm.bench.LloydBench.lloyd","thrpt",1,30,"0,000417","0,000005","ops/us",,50,,1000
"streamkm.bench.LloydBench.lloyd","thrpt",1,30,"0,000005","0,000000","ops/us",,50,,10000
"streamkm.bench.NearestBench.nearest","thrpt",1,30,"0,038635","0,000222","ops/ns",10,10,,
"streamkm.bench.NearestBench.nearest","thrpt",1,30,"0,007789","0,000129","ops/ns",10,50,,
"streamkm.bench.NearestBench.nearest","thrpt",1,30,"0,008492","0,000093","ops/ns",50,10,,
"streamkm.bench.NearestBench.nearest","thrpt",1,30,"0,001635","0,000019","ops/ns",50,50,,
"streamkm.bench.PipelineBench.fullPipeline","thrpt",1,30,"0,039958","0,000585","ops/ms",,10,,10000
"streamkm.bench.PipelineBench.fullPipeline","thrpt",1,30,"0,016485","0,000075","ops/ms",,10,,50000
