"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: d","Param: k","Param: m","Param: n"
"streamkm.bench.CoresetTreeBench.build","thrpt",1,30,"0,000449","0,000005","ops/us",,,500,5000
"streamkm.bench.CoresetTreeBench.build","thrpt",1,30,"0,000114","0,000002","ops/us",,,500,20000
"streamkm.bench.CoresetTreeBench.build","thrpt",1,30,"0,000333","0,000001","ops/us",,,2000,5000
"streamkm.bench.CoresetTreeBench.build","thrpt",1,30,"0,000097","0,000000","ops/us",,,2000,20000
"streamkm.bench.InsertBench.insertAll","thrpt",1,30,"0,000125","0,000000","ops/us",,,1000,10000
"streamkm.bench.InsertBench.insertAll","thrpt",1,30,"0,000010","0,000000","ops/us",,,1000,100000
"streamkm.bench.InsertBench.insertAll","thrpt",1,30,"0,000142","0,000002","ops/us",,,5000,10000
"streamkm.bench.InsertBench.insertAll","thrpt",1,30,"0,000008","0,000000","ops/us",,,5000,100000
"streamkm.bench.LloydBench.lloyd","thrpt",1,30,"0,000469","0,000005","ops/us",,10,,1000
"streamkm.bench.LloydBench.lloyd","thrpt",1,30,"0,000015","0,000000","ops/us",,10,,10000
"streamkm.bench.LloydBench.lloyd","thrpt",1,30,"0,000330","0,000003","ops/us",,50,,1000
"streamkm.bench.LloydBench.lloyd","thrpt",1,30,"0,000004","0,000000","ops/us",,50,,10000
"streamkm.bench.NearestBench.nearest","thrpt",1,30,"0,024089","0,000437","ops/ns",10,10,,
"streamkm.bench.NearestBench.nearest","thrpt",1,30,"0,005025","0,000033","ops/ns",10,50,,
"streamkm.bench.NearestBench.nearest","thrpt",1,30,"0,005547","0,000022","ops/ns",50,10,,
"streamkm.bench.NearestBench.nearest","thrpt",1,30,"0,001086","0,000011","ops/ns",50,50,,
"streamkm.bench.PipelineBench.fullPipeline","thrpt",1,30,"0,033099","0,000471","ops/ms",,10,,10000
"streamkm.bench.PipelineBench.fullPipeline","thrpt",1,30,"0,012794","0,000053","ops/ms",,10,,50000
"streamkm.bench.PipelineBench.fullPipeline","thrpt",1,30,"0,004905","0,000034","ops/ms",,25,,10000
"streamkm.bench.PipelineBench.fullPipeline","thrpt",1,30,"0,004525","0,000050","ops/ms",,25,,50000
"streamkm.bench.PipelineBench.ingestOnly","thrpt",1,30,"0,105446","0,000960","ops/ms",,10,,10000
"streamkm.bench.PipelineBench.ingestOnly","thrpt",1,30,"0,018287","0,000195","ops/ms",,10,,50000
"streamkm.bench.PipelineBench.ingestOnly","thrpt",1,30,"0,141975","0,001492","ops/ms",,25,,10000
