dataset,method,k,m,run,seed,cost
Covertype,Sequential StreamKM++,10,2000,1,2026,1.0029278704468105E10
Covertype,Spark StreamKM++,10,2000,1,2026,1.006315360608159E10
Covertype,Spark MLlib KMeans,10,2000,1,2026,1.0077251386171104E10
Covertype,Sequential StreamKM++,20,4000,1,2026,5.791953207086605E9
Covertype,Spark StreamKM++,20,4000,1,2026,5.7795616341173115E9
Covertype,Spark MLlib KMeans,20,4000,1,2026,5.739423796893795E9
Covertype,Sequential StreamKM++,30,6000,1,2026,4.2926798522027693E9
Covertype,Spark StreamKM++,30,6000,1,2026,4.357949662363721E9
Covertype,Spark MLlib KMeans,30,6000,1,2026,4.283866553342715E9
Covertype,Sequential StreamKM++,40,8000,1,2026,3.5346603699464893E9
Covertype,Spark StreamKM++,40,8000,1,2026,3.5341916846367803E9
Covertype,Spark MLlib KMeans,40,8000,1,2026,3.5586824000409365E9
Covertype,Sequential StreamKM++,50,10000,1,2026,3.0281184826382213E9
Covertype,Spark StreamKM++,50,10000,1,2026,3.023576587629944E9
Covertype,Spark MLlib KMeans,50,10000,1,2026,3.029253610021599E9
